Sprengel_Nr,Georg Willi - Die Innsbrucker Grünen - GRÜNE,FPÖ - Rudi Federspiel - FPÖ,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY",NEOS Innsbruck - NEOS,Liste Fritz - Bürgerforum Tirol - FRITZ,Liste Gerald Depaoli - Gerechtes Innsbruck - Die Unbestechlichen - GERECHT,Alternative Liste Innsbruck - Mesut Onay - ALI,Sozialdemokratische Partei Österreichs - SPÖ,EINIG Innsbruck - Liste Helmut Reichholf - EINIG,JA - Jetzt Innsbruck - Johannes Anzengruber - JA,TUN - Transparente Unabhängige Neue Gesellschaft - TUN,Die Unabhängigen - Innsbruck - DU-I,Kommunistische Partei Österreich (KPÖ) - KPÖ,Gewinner
335,19.41,12.23,12.23,5.05,5.59,1.33,6.38,14.63,0.0,15.16,0.0,0.53,7.45,Georg Willi - Die Innsbrucker Grünen - GRÜNE
336,23.32,14.8,12.11,2.47,4.48,2.47,5.16,14.57,0.9,10.09,0.45,1.12,8.07,Georg Willi - Die Innsbrucker Grünen - GRÜNE
337,19.94,18.52,8.55,1.99,8.55,1.42,5.41,15.1,0.57,12.25,0.57,0.57,6.55,Georg Willi - Die Innsbrucker Grünen - GRÜNE
340,15.24,19.67,11.08,3.05,4.99,2.22,3.88,16.34,0.83,15.79,0.55,0.28,6.09,FPÖ - Rudi Federspiel - FPÖ
341,20.12,14.79,7.1,1.78,6.8,2.07,4.73,17.46,2.07,16.86,0.59,0.3,5.33,Georg Willi - Die Innsbrucker Grünen - GRÜNE
342,12.29,20.93,9.63,0.66,7.31,4.32,4.98,14.62,0.0,17.61,0.66,1.0,5.98,FPÖ - Rudi Federspiel - FPÖ
343,21.89,14.14,11.45,2.02,8.08,2.36,3.7,15.49,0.67,11.78,0.0,0.67,7.74,Georg Willi - Die Innsbrucker Grünen - GRÜNE
344,21.45,12.73,11.64,4.0,4.0,4.73,4.0,16.0,0.36,11.64,1.45,0.36,7.64,Georg Willi - Die Innsbrucker Grünen - GRÜNE
345,14.5,22.36,9.37,3.32,4.53,4.23,5.74,20.24,0.0,11.78,0.0,0.0,3.93,FPÖ - Rudi Federspiel - FPÖ
350,24.93,13.79,12.2,5.57,5.04,1.86,6.1,9.55,1.33,12.73,0.0,0.8,6.1,Georg Willi - Die Innsbrucker Grünen - GRÜNE
351,26.74,11.16,13.95,3.95,7.21,1.63,6.05,7.91,1.16,13.95,0.0,0.23,6.05,Georg Willi - Die Innsbrucker Grünen - GRÜNE
352,28.27,10.45,12.59,4.04,9.74,1.43,3.09,8.08,0.48,17.1,1.19,0.24,3.33,Georg Willi - Die Innsbrucker Grünen - GRÜNE
353,25.67,11.0,17.67,4.0,6.33,1.0,1.33,12.33,0.33,17.33,0.0,0.0,3.0,Georg Willi - Die Innsbrucker Grünen - GRÜNE
354,31.65,13.3,9.31,3.99,6.12,0.8,2.39,9.57,1.33,17.55,0.0,0.53,3.46,Georg Willi - Die Innsbrucker Grünen - GRÜNE
355,20.74,21.48,10.0,1.48,7.78,2.96,3.33,7.78,0.37,17.04,0.74,0.37,5.93,FPÖ - Rudi Federspiel - FPÖ
356,7.06,33.74,7.06,0.92,6.75,6.75,2.45,15.03,0.61,13.8,0.92,0.92,3.99,FPÖ - Rudi Federspiel - FPÖ
360,18.72,15.52,13.55,3.69,4.43,1.97,1.72,11.82,2.46,21.92,0.0,0.25,3.94,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
361,21.18,14.26,10.18,5.91,6.92,2.85,3.05,10.39,1.83,19.35,0.61,0.2,3.26,Georg Willi - Die Innsbrucker Grünen - GRÜNE
400,21.95,9.09,6.65,3.99,3.33,2.44,6.43,9.31,0.22,30.16,0.22,0.44,5.76,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
401,20.06,10.73,6.78,1.98,7.34,2.54,6.78,14.97,0.0,19.49,0.0,0.28,9.04,Georg Willi - Die Innsbrucker Grünen - GRÜNE
402,26.07,9.0,7.35,4.98,9.95,4.27,4.98,9.72,0.24,18.25,0.24,0.0,4.98,Georg Willi - Die Innsbrucker Grünen - GRÜNE
430,6.87,17.61,13.43,1.79,4.78,8.96,5.07,15.82,0.3,18.21,0.0,0.3,6.87,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
431,9.98,25.3,12.9,0.73,6.81,4.87,2.92,14.36,0.24,18.25,0.0,0.49,3.16,FPÖ - Rudi Federspiel - FPÖ
500,13.17,14.95,6.76,1.07,8.19,1.78,4.98,13.17,0.71,30.25,0.0,0.36,4.63,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
501,8.91,29.04,6.27,1.65,4.29,4.95,4.29,13.86,0.99,21.12,0.0,0.0,4.62,FPÖ - Rudi Federspiel - FPÖ
510,8.33,19.25,10.06,1.44,6.03,4.31,4.02,10.34,0.86,31.03,0.0,0.29,4.02,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
511,11.06,22.77,5.53,2.13,6.17,5.96,2.77,18.72,0.21,18.3,0.21,0.43,5.74,FPÖ - Rudi Federspiel - FPÖ
512,13.68,23.36,12.25,2.85,3.7,1.99,3.7,11.11,1.14,18.52,0.28,0.0,7.41,FPÖ - Rudi Federspiel - FPÖ
513,13.77,18.22,10.93,3.24,7.69,4.86,2.83,15.79,0.81,11.34,0.0,0.0,10.53,FPÖ - Rudi Federspiel - FPÖ
600,12.41,13.1,7.13,4.6,2.99,2.76,1.38,9.2,0.69,43.22,0.23,0.0,2.3,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
601,15.52,20.6,5.07,2.69,5.37,3.28,0.3,8.66,0.0,33.13,1.19,0.9,3.28,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
610,16.05,12.71,7.02,3.68,6.02,1.67,3.34,12.71,0.0,29.43,0.0,0.33,7.02,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
611,16.15,18.01,7.66,2.48,4.35,4.35,4.55,10.56,0.0,27.12,0.21,0.21,4.35,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
612,12.04,18.21,12.32,5.32,3.64,1.68,1.96,8.12,0.84,31.37,0.28,0.0,4.2,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
620,10.7,17.71,6.27,3.69,7.75,4.8,3.69,14.76,0.37,25.46,0.37,0.37,4.06,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
621,14.03,21.22,10.43,2.52,5.04,5.76,1.44,15.83,0.36,19.06,0.0,0.36,3.96,FPÖ - Rudi Federspiel - FPÖ
630,3.98,33.52,11.93,1.14,5.68,5.11,2.84,12.5,0.57,14.77,0.0,0.57,7.39,FPÖ - Rudi Federspiel - FPÖ
631,9.05,23.98,11.76,1.36,7.24,3.62,0.9,16.29,0.0,17.19,0.0,0.45,8.14,FPÖ - Rudi Federspiel - FPÖ
632,6.88,26.45,13.77,0.36,2.9,7.25,2.17,18.12,0.72,14.13,0.0,0.72,6.52,FPÖ - Rudi Federspiel - FPÖ
633,2.87,35.13,11.83,1.43,9.32,5.38,0.36,10.39,0.72,14.7,0.0,1.08,6.81,FPÖ - Rudi Federspiel - FPÖ
634,10.62,19.91,11.06,0.44,4.42,5.75,0.0,11.5,0.44,29.2,0.44,0.0,6.19,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
635,2.72,33.24,9.26,0.54,5.99,10.63,1.36,13.62,0.82,19.07,0.27,0.0,2.45,FPÖ - Rudi Federspiel - FPÖ
700,12.41,9.12,11.68,2.92,8.39,1.82,5.84,7.66,0.73,32.85,0.73,0.0,5.84,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
800,17.3,12.56,12.8,4.74,8.53,0.71,4.27,11.61,0.95,21.09,1.18,0.0,4.27,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
801,17.7,8.55,16.81,5.31,11.21,1.47,3.54,13.57,0.29,17.11,0.59,0.0,3.83,Georg Willi - Die Innsbrucker Grünen - GRÜNE
802,13.99,13.47,10.36,4.66,5.96,1.04,3.63,11.92,0.52,30.83,0.26,0.0,3.37,JA - Jetzt Innsbruck - Johannes Anzengruber - JA
901,26.47,13.24,13.24,0.0,7.35,0.0,1.47,20.59,1.47,11.76,1.47,1.47,1.47,Georg Willi - Die Innsbrucker Grünen - GRÜNE
902,29.11,7.59,17.72,1.27,6.33,2.53,0.0,20.25,0.0,13.92,1.27,0.0,0.0,Georg Willi - Die Innsbrucker Grünen - GRÜNE
903,24.66,5.48,30.14,4.11,4.11,1.37,1.37,19.18,0.0,9.59,0.0,0.0,0.0,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY"
904,19.05,12.7,33.33,3.97,2.38,0.0,0.79,17.46,0.0,8.73,0.0,0.0,1.59,"Florian Tursky - Das Neue Innsbruck (Für Innsbruck, Volkspartei, Senioren) - TURSKY"
905,15.15,21.21,21.21,0.0,6.06,0.0,0.0,18.18,3.03,13.64,0.0,0.0,1.52,FPÖ - Rudi Federspiel - FPÖ
