Sprengel_Nr,Georg Willi,Markus Lassenberger,Florian Tursky,Julia Seidl,Andrea Haselwanter-Schneider,Gerald Depaoli,Mesut Onay,Elisabeth Mayr Maga,Helmut Reichholf,Johannes Anzengruber,Christian Franz Veber,Helmut Buchacher,Pia Tomedi,Gewinner
240,16.18,25.31,9.96,4.56,3.73,3.32,2.49,13.69,0.41,13.28,0.0,1.24,5.81,Markus Lassenberger
241,15.44,18.92,7.72,1.54,6.95,1.16,1.93,21.24,0.77,16.6,0.39,0.0,7.34,Elisabeth Mayr Maga
242,15.82,29.11,11.39,0.95,3.8,4.11,1.9,14.56,0.32,14.24,0.63,0.0,3.16,Markus Lassenberger
243,18.81,20.3,10.89,1.98,4.95,2.48,2.97,18.32,0.0,13.86,0.99,0.0,4.46,Markus Lassenberger
244,11.11,29.39,9.32,1.08,2.51,3.94,3.23,20.07,0.36,14.34,0.36,0.0,4.3,Markus Lassenberger
245,11.63,23.64,13.95,1.55,5.43,3.1,3.1,21.32,0.0,10.85,0.39,0.0,5.04,Markus Lassenberger
246,9.83,24.36,14.53,3.42,2.56,5.13,2.56,15.38,0.43,16.67,0.0,0.43,4.7,Markus Lassenberger
250,16.19,25.4,13.02,1.9,4.44,2.86,1.27,10.16,0.63,19.37,0.0,0.32,4.44,Markus Lassenberger
251,12.5,25.27,7.34,1.36,6.52,2.99,1.63,11.96,0.27,27.72,0.0,0.54,1.9,Johannes Anzengruber
252,12.73,31.84,13.86,0.37,5.62,6.74,0.75,10.49,0.0,15.73,0.37,0.0,1.5,Markus Lassenberger
253,10.89,28.23,11.69,1.21,4.44,4.44,3.63,10.89,0.4,20.56,1.21,0.0,2.42,Markus Lassenberger
254,15.04,24.27,12.66,1.58,2.9,3.43,2.11,14.25,0.53,19.0,0.53,0.0,3.69,Markus Lassenberger
255,6.8,28.48,9.39,0.32,3.24,6.8,1.62,13.59,0.32,22.65,0.0,0.0,6.8,Markus Lassenberger
256,6.6,22.33,11.64,1.26,10.38,1.26,2.52,14.78,0.94,24.53,0.0,1.26,2.52,Johannes Anzengruber
257,11.35,21.89,9.73,0.54,3.51,3.51,4.32,18.92,0.0,20.0,0.0,0.27,5.95,Markus Lassenberger
260,8.1,30.13,8.86,0.76,5.32,4.56,4.05,12.91,0.25,20.0,0.51,0.76,3.8,Markus Lassenberger
261,8.85,28.32,7.96,0.44,8.85,5.75,1.33,12.83,0.44,21.68,0.0,0.44,3.1,Markus Lassenberger
262,15.92,23.53,10.73,1.73,2.77,1.73,4.15,14.53,0.35,20.07,0.69,0.0,3.81,Markus Lassenberger
263,11.5,21.95,11.5,1.05,1.74,3.83,2.79,19.16,0.35,23.0,0.0,0.35,2.79,Johannes Anzengruber
264,8.66,19.48,13.42,1.3,7.79,5.19,1.73,16.45,0.0,20.35,0.0,0.43,5.19,Johannes Anzengruber
265,11.96,24.85,11.66,0.31,2.76,3.07,1.53,22.09,0.0,16.26,0.31,0.0,5.21,Markus Lassenberger
300,29.23,10.14,10.39,0.97,4.83,2.17,1.45,14.25,0.48,24.15,0.0,0.0,1.93,Georg Willi
301,25.93,19.14,9.57,2.16,3.09,4.01,1.23,10.49,0.31,21.91,0.31,0.0,1.85,Georg Willi
302,26.47,10.98,11.37,2.75,2.35,1.18,2.16,14.71,0.59,24.51,0.39,0.2,2.35,Georg Willi
303,30.32,11.44,14.63,2.13,3.99,1.06,1.6,13.83,0.0,17.29,0.53,0.27,2.93,Georg Willi
304,34.33,8.06,14.52,1.61,4.84,0.92,1.61,12.9,0.23,17.05,0.0,0.23,3.69,Georg Willi
305,36.32,9.4,10.47,1.92,4.06,1.28,1.28,13.46,0.85,16.24,0.21,0.64,3.85,Georg Willi
306,35.83,11.25,8.75,2.08,3.75,2.08,2.5,17.5,0.42,12.92,0.42,0.0,2.5,Georg Willi
307,29.22,15.91,10.71,1.95,3.9,0.65,3.25,15.91,0.65,13.31,0.32,0.0,4.22,Georg Willi
310,25.7,14.9,11.17,0.93,2.61,0.74,1.68,10.99,0.19,29.24,0.0,0.0,1.86,Johannes Anzengruber
320,24.51,8.82,12.25,2.45,2.94,1.47,2.94,22.55,0.49,10.78,0.98,0.0,9.8,Georg Willi
321,29.67,11.0,8.67,2.33,5.0,2.67,4.33,15.33,1.0,16.0,0.33,0.33,3.33,Georg Willi
322,23.3,11.11,9.68,3.23,4.3,2.51,5.02,15.05,0.72,15.41,1.08,1.08,7.53,Georg Willi
323,32.15,13.57,4.72,3.54,4.72,2.65,2.65,15.63,1.18,12.39,0.59,0.29,5.9,Georg Willi
324,27.7,14.4,9.42,2.49,4.16,0.0,3.32,16.62,1.11,13.85,0.0,1.66,5.26,Georg Willi
325,21.52,17.09,10.44,0.95,3.16,1.27,6.01,16.46,0.63,15.19,0.0,1.58,5.7,Georg Willi
330,30.48,8.89,8.89,2.22,3.49,2.22,3.17,15.56,0.63,19.05,0.63,0.32,4.44,Georg Willi
331,19.65,14.34,10.02,3.54,7.66,2.55,2.16,16.11,0.79,19.06,0.39,0.2,3.54,Georg Willi
332,26.55,9.21,11.35,0.21,4.07,1.07,2.57,14.99,0.43,25.27,0.0,0.21,4.07,Georg Willi
333,26.99,11.33,9.4,2.41,6.02,1.45,2.65,15.42,0.48,19.28,0.48,0.48,3.61,Georg Willi
334,24.6,13.91,9.48,3.23,4.84,1.61,1.61,16.13,0.0,18.95,0.4,0.2,5.04,Georg Willi
335,23.8,11.23,12.83,4.55,4.01,1.34,3.48,15.51,0.0,18.45,0.0,0.53,4.28,Georg Willi
336,30.43,15.33,11.67,1.6,4.58,1.83,1.83,15.33,0.46,12.36,0.23,0.69,3.66,Georg Willi
337,23.16,18.64,6.78,0.85,7.34,1.69,3.39,18.36,0.28,12.99,0.28,0.28,5.93,Georg Willi
340,17.8,19.77,9.89,1.98,3.67,2.26,2.54,17.23,0.28,18.64,1.13,0.0,4.8,Markus Lassenberger
341,21.02,15.62,8.41,2.7,6.61,1.2,1.5,15.02,1.5,19.82,0.3,0.3,6.01,Georg Willi
342,15.2,22.3,10.81,0.0,6.42,2.36,2.36,14.86,0.0,20.61,0.34,1.35,3.38,Markus Lassenberger
343,21.62,14.19,11.82,1.35,7.43,2.36,2.03,18.92,0.68,14.86,0.0,0.68,4.05,Georg Willi
344,24.18,15.38,12.82,1.83,3.66,2.2,2.2,16.48,0.0,15.38,0.73,0.0,5.13,Georg Willi
345,16.24,22.61,10.83,2.23,3.82,3.18,3.82,20.7,0.64,11.78,0.0,0.0,4.14,Markus Lassenberger
350,26.76,14.86,11.62,2.97,4.59,0.54,3.78,12.16,0.54,17.3,0.27,0.0,4.59,Georg Willi
351,33.72,9.84,14.05,2.81,6.09,1.17,1.17,10.77,0.7,16.39,0.23,0.0,3.04,Georg Willi
352,32.04,10.44,12.38,0.97,7.04,0.49,1.21,11.17,0.97,20.63,0.49,0.24,1.94,Georg Willi
353,29.93,10.88,16.67,3.06,3.4,1.02,1.36,11.56,0.34,20.07,0.0,0.0,1.7,Georg Willi
354,32.97,14.44,9.81,2.72,3.54,0.27,1.09,10.63,0.82,20.44,0.0,0.27,3.0,Georg Willi
355,22.47,19.48,9.36,0.37,6.74,3.37,2.25,9.36,0.37,23.22,0.75,0.0,2.25,Johannes Anzengruber
356,9.26,34.57,8.64,0.31,4.94,5.25,1.85,13.89,0.31,15.43,0.93,1.54,3.09,Markus Lassenberger
360,17.13,15.62,13.35,3.02,5.04,1.26,1.26,14.11,2.02,24.69,0.0,0.25,2.27,Johannes Anzengruber
361,23.47,14.9,11.43,2.65,6.12,1.63,1.22,12.45,1.84,22.65,0.41,0.2,1.02,Georg Willi
400,27.64,8.54,7.64,2.92,2.47,1.35,2.02,10.34,0.45,33.48,0.22,0.0,2.92,Johannes Anzengruber
401,22.54,12.43,6.65,2.02,4.34,1.73,2.6,19.94,0.0,22.54,0.0,0.58,4.62,Georg Willi
402,30.05,9.86,7.45,2.64,6.73,2.88,1.68,15.87,0.0,19.71,0.0,0.24,2.88,Georg Willi
430,8.76,22.05,13.9,0.91,4.23,5.14,3.93,15.41,0.91,19.34,0.0,0.3,5.14,Markus Lassenberger
431,12.97,26.93,11.22,0.0,7.73,2.74,1.5,12.97,0.75,20.45,0.0,1.25,1.5,Markus Lassenberger
500,14.8,15.16,6.5,1.44,7.22,1.81,2.89,14.08,0.36,31.77,0.0,0.36,3.61,Johannes Anzengruber
501,9.76,30.98,6.4,1.68,3.7,3.7,3.03,14.14,0.67,23.23,0.0,0.0,2.69,Markus Lassenberger
510,11.67,20.28,10.28,1.11,3.89,3.33,2.5,11.94,0.83,30.28,0.0,0.28,3.61,Johannes Anzengruber
511,12.04,22.76,7.44,1.53,5.47,4.6,2.41,18.38,0.22,20.35,0.22,0.88,3.72,Markus Lassenberger
512,17.34,22.83,12.14,2.02,2.6,1.73,1.45,11.85,0.58,19.94,0.87,0.29,6.36,Markus Lassenberger
513,18.62,16.6,12.96,2.43,6.88,2.83,2.02,15.38,0.81,15.79,0.4,0.0,5.26,Georg Willi
600,14.09,14.78,6.7,2.54,1.15,0.69,0.69,11.09,0.92,46.65,0.23,0.0,0.46,Johannes Anzengruber
601,15.82,25.07,5.37,0.6,4.48,0.6,0.3,8.66,0.0,34.63,0.3,1.19,2.99,Johannes Anzengruber
610,18.43,11.95,6.48,1.71,4.1,1.37,1.37,17.41,0.0,33.11,0.0,0.34,3.75,Johannes Anzengruber
611,19.46,17.81,8.49,1.66,3.52,2.07,1.45,12.22,0.0,30.85,0.21,0.0,2.28,Johannes Anzengruber
612,14.53,21.23,12.01,1.96,3.07,1.12,0.28,11.17,0.56,32.12,0.0,0.0,1.96,Johannes Anzengruber
620,11.7,18.87,7.55,2.26,6.79,3.02,3.02,14.34,0.38,27.55,0.38,0.38,3.77,Johannes Anzengruber
621,14.71,21.32,11.03,2.21,4.41,4.04,1.47,15.44,0.0,22.06,0.37,0.74,2.21,Johannes Anzengruber
630,5.47,36.32,12.44,0.0,3.48,4.48,2.49,11.44,0.5,15.42,0.0,0.5,7.46,Markus Lassenberger
631,10.75,25.23,10.28,0.47,7.48,3.27,0.93,15.89,0.0,18.22,0.47,0.47,6.54,Markus Lassenberger
632,9.16,28.24,14.12,1.15,1.91,3.44,2.29,19.47,0.76,13.36,0.0,1.15,4.96,Markus Lassenberger
